0;0-999;0-1999;0-3999;*
1;0-999;0-1999;0-3999;*
2;0-999;0-1999;0-3999;*
3;0-999;0-1999;0-3999;*
4;0-999;0-1999;0-3999;*
5;0-999;0-1999;0-3999;*
6;0-999;0-1999;0-3999;*
7;0-999;0-1999;0-3999;*
8;0-999;0-1999;0-3999;*
9;0-999;0-1999;0-3999;*
10;0-999;0-1999;0-3999;*
11;0-999;0-1999;0-3999;*
12;0-999;0-1999;0-3999;*
13;0-999;0-1999;0-3999;*
14;0-999;0-1999;0-3999;*
15;0-999;0-1999;0-3999;*
16;0-999;0-1999;0-3999;*
17;0-999;0-1999;0-3999;*
18;0-999;0-1999;0-3999;*
19;0-999;0-1999;0-3999;*
20;0-999;0-1999;0-3999;*
21;0-999;0-1999;0-3999;*
22;0-999;0-1999;0-3999;*
23;0-999;0-1999;0-3999;*
24;0-999;0-1999;0-3999;*
25;0-999;0-1999;0-3999;*
26;0-999;0-1999;0-3999;*
27;0-999;0-1999;0-3999;*
28;0-999;0-1999;0-3999;*
29;0-999;0-1999;0-3999;*
30;0-999;0-1999;0-3999;*
31;0-999;0-1999;0-3999;*
32;0-999;0-1999;0-3999;*
33;0-999;0-1999;0-3999;*
34;0-999;0-1999;0-3999;*
35;0-999;0-1999;0-3999;*
36;0-999;0-1999;0-3999;*
37;0-999;0-1999;0-3999;*
38;0-999;0-1999;0-3999;*
39;0-999;0-1999;0-3999;*
40;0-999;0-1999;0-3999;*
41;0-999;0-1999;0-3999;*
42;0-999;0-1999;0-3999;*
43;0-999;0-1999;0-3999;*
44;0-999;0-1999;0-3999;*
45;0-999;0-1999;0-3999;*
46;0-999;0-1999;0-3999;*
47;0-999;0-1999;0-3999;*
48;0-999;0-1999;0-3999;*
49;0-999;0-1999;0-3999;*
50;0-999;0-1999;0-3999;*
51;0-999;0-1999;0-3999;*
52;0-999;0-1999;0-3999;*
53;0-999;0-1999;0-3999;*
54;0-999;0-1999;0-3999;*
55;0-999;0-1999;0-3999;*
56;0-999;0-1999;0-3999;*
57;0-999;0-1999;0-3999;*
58;0-999;0-1999;0-3999;*
59;0-999;0-1999;0-3999;*
60;0-999;0-1999;0-3999;*
61;0-999;0-1999;0-3999;*
62;0-999;0-1999;0-3999;*
63;0-999;0-1999;0-3999;*
64;0-999;0-1999;0-3999;*
65;0-999;0-1999;0-3999;*
66;0-999;0-1999;0-3999;*
67;0-999;0-1999;0-3999;*
68;0-999;0-1999;0-3999;*
69;0-999;0-1999;0-3999;*
70;0-999;0-1999;0-3999;*
71;0-999;0-1999;0-3999;*
72;0-999;0-1999;0-3999;*
73;0-999;0-1999;0-3999;*
74;0-999;0-1999;0-3999;*
75;0-999;0-1999;0-3999;*
76;0-999;0-1999;0-3999;*
77;0-999;0-1999;0-3999;*
78;0-999;0-1999;0-3999;*
79;0-999;0-1999;0-3999;*
80;0-999;0-1999;0-3999;*
81;0-999;0-1999;0-3999;*
82;0-999;0-1999;0-3999;*
83;0-999;0-1999;0-3999;*
84;0-999;0-1999;0-3999;*
85;0-999;0-1999;0-3999;*
86;0-999;0-1999;0-3999;*
87;0-999;0-1999;0-3999;*
88;0-999;0-1999;0-3999;*
89;0-999;0-1999;0-3999;*
90;0-999;0-1999;0-3999;*
91;0-999;0-1999;0-3999;*
92;0-999;0-1999;0-3999;*
93;0-999;0-1999;0-3999;*
94;0-999;0-1999;0-3999;*
95;0-999;0-1999;0-3999;*
96;0-999;0-1999;0-3999;*
97;0-999;0-1999;0-3999;*
98;0-999;0-1999;0-3999;*
99;0-999;0-1999;0-3999;*
100;0-999;0-1999;0-3999;*
101;0-999;0-1999;0-3999;*
102;0-999;0-1999;0-3999;*
103;0-999;0-1999;0-3999;*
104;0-999;0-1999;0-3999;*
105;0-999;0-1999;0-3999;*
106;0-999;0-1999;0-3999;*
107;0-999;0-1999;0-3999;*
108;0-999;0-1999;0-3999;*
109;0-999;0-1999;0-3999;*
110;0-999;0-1999;0-3999;*
111;0-999;0-1999;0-3999;*
112;0-999;0-1999;0-3999;*
113;0-999;0-1999;0-3999;*
114;0-999;0-1999;0-3999;*
115;0-999;0-1999;0-3999;*
116;0-999;0-1999;0-3999;*
117;0-999;0-1999;0-3999;*
118;0-999;0-1999;0-3999;*
119;0-999;0-1999;0-3999;*
120;0-999;0-1999;0-3999;*
121;0-999;0-1999;0-3999;*
122;0-999;0-1999;0-3999;*
123;0-999;0-1999;0-3999;*
124;0-999;0-1999;0-3999;*
125;0-999;0-1999;0-3999;*
126;0-999;0-1999;0-3999;*
127;0-999;0-1999;0-3999;*
128;0-999;0-1999;0-3999;*
129;0-999;0-1999;0-3999;*
130;0-999;0-1999;0-3999;*
131;0-999;0-1999;0-3999;*
132;0-999;0-1999;0-3999;*
133;0-999;0-1999;0-3999;*
134;0-999;0-1999;0-3999;*
135;0-999;0-1999;0-3999;*
136;0-999;0-1999;0-3999;*
137;0-999;0-1999;0-3999;*
138;0-999;0-1999;0-3999;*
139;0-999;0-1999;0-3999;*
140;0-999;0-1999;0-3999;*
141;0-999;0-1999;0-3999;*
142;0-999;0-1999;0-3999;*
143;0-999;0-1999;0-3999;*
144;0-999;0-1999;0-3999;*
145;0-999;0-1999;0-3999;*
146;0-999;0-1999;0-3999;*
147;0-999;0-1999;0-3999;*
148;0-999;0-1999;0-3999;*
149;0-999;0-1999;0-3999;*
150;0-999;0-1999;0-3999;*
151;0-999;0-1999;0-3999;*
152;0-999;0-1999;0-3999;*
153;0-999;0-1999;0-3999;*
154;0-999;0-1999;0-3999;*
155;0-999;0-1999;0-3999;*
156;0-999;0-1999;0-3999;*
157;0-999;0-1999;0-3999;*
